Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
10859,,,Rooibos Chai Tea,16 Bag,6 Outer,$5.76,$34.56
,,,Yogi Green Tea,,,,
10978,,,Decaf Green Tea,16 Bag,6 Outer,$5.76,$34.56
10857,,,Green Chai Tea,16 Bag,6 Outer,$5.76,$34.56
11999,,,Green Kombucha Tea,16 Bag,6 Outer,$5.76,$34.56
11077,,,Green Tea Lemon Ginger,16 Bag,6 Outer,$5.76,$34.56
12162,,,Green Tea Super Anti Oxidant Tea,16 Bag,6 Outer,$5.76,$34.56
,,,Yogi Wellness Tea,,,,
10226,,,Bedtime Tea,16 Bag,6 Outer,$5.76,$34.56
11503,,,Berry Detox Tea,16 Bag,6 Outer,$5.76,$34.56
11074,,,Breathe Deep Tea,16 Bag,6 Outer,$5.76,$34.56
12111,,,Cinnamon Vanilla Healthy Skin Tea,16 Bag,6 Outer,$5.76,$34.56
12159,,,Detox Tea,16 Bag,6 Outer,$5.76,$34.56
12160,,,Echinacea Immune System Support Tea,16 Bag,6 Outer,$5.76,$34.56
10278,,,Ginger Tea,16 Bag,6 Outer,$5.76,$34.56
10977,,,Joint Comfort Tea,16 Bag,6 Outer,$5.76,$34.56
11681,,,Kava Stress Relief Tea,16 Bag,6 Outer,$5.76,$34.56
12161,,,Perfect Energy Vanilla Spice Tea,16 Bag,6 Outer,$5.76,$34.56
11711,,,Skin Detox Tea,16 Bag,6 Outer,$5.76,$34.56
10979,,,St Johns Wort Blues Away Tea,16 Bag,6 Outer,$5.76,$34.56
10980,,,Stomach Ease Tea,16 Bag,6 Outer,$5.76,$34.56
10280,,,Throat Comfort Tea,16 Bag,6 Outer,$5.76,$34.56
,,,Yogi Women's Tea,,,,
12000,,,Women's Energy Tea,16 Bag,6 Outer,$5.76,$34.56
10281,,,Womens Moon Cycle Tea,16 Bag,6 Outer,$5.76,$34.56
10282,,,Womens Mother To Be Tea,16 Bag,6 Outer,$5.76,$34.56
10284,,,Womens Nursing Support Tea,16 Bag,6 Outer,$5.76,$34.56
10302,,,Womens Raspberry Leaf Tea,16 Bag,6 Outer,$5.76,$34.56
,,,BEVERAGE - COFFEE,,,,
,,,Inca -Fe,,,,
12207,,,Beans Habesha,200g,Ctn 6,$5.33,$31.98
12209,,,Beans Java,200g,Ctn 6,$5.33,$31.98
12204,,,Beans Marin Estate,200g,Ctn 6,$5.33,$31.98
12206,,,Espresso Grind Decaf,200g,Ctn 6,$6.94,$41.64
12203,,,Espresso Grind Fiesta,200g,Ctn 6,$5.33,$31.98
12211,,,Espresso Grind Fiesta,1kg,6 Outer,$28.00,$168.00
12208,,,Plunger/Filter Habesha,200g,Ctn 6,$5.33,$31.98
12205,,,Plunger/Filter Marin Estate,200g,Ctn 6,$5.33,$31.98
,,,Organic Mountain,,,,
11808,,,Instant Coffee,100g,12 Outer,$8.69,$104.28
,,,BEVERAGE - HOT ALTERNATIVES,,,,
,,,Ceres Organics,,,,
12252,,,Cacao Drink Enlivened with Maca & Ginger,250g,6 Outer,$8.10,$48.60
12251,,,Drinking Cacao,250g,6 Outer,$7.52,$45.12
,,,Golden Fields,,,,
10303,,,Chicory Beverage,175g,21 Outer,$5.16,$108.36
10550,,,Dandelion & Burdock Beverage,25 Bag,21 Outer,$7.39,$155.19
10551,,,Dandelion & Burdock Beverage,175g,21 Outer,$12.70,$266.70
10295,,,Dandelion Beverage,100 Bag,9 Outer,$25.80,$232.20
10555,,,Dandelion Beverage,5 Bag,12 Outer,$2.17,$26.04
10305,,,Dandelion Beverage,175g,21 Outer,$12.70,$266.70
10293,,,Dandelion Beverage,25 Bag,10 Outer,$7.48,$74.80
11706,,,Dandelion Chai Beverage,5 Bag,12 Outer,$2.17,$26.04
11623,,,Dandelion Chai Beverage,25 Bag,21 Outer,$8.40,$176.40
10304,,,French Coffee,25 Bag,21 Outer,$5.36,$112.56
10299,,,Roast Malt Beverage,225g,18 Outer,$4.78,$86.04
10300,,,Roast Malt Beverage,25 Bag,10 Outer,$4.49,$44.90
10292,,,Roast Malt Beverage,5 Bag,15 Outer,$1.68,$25.20
,,,BEVERAGE - WATER,,,,
,,,Oqua Organic,,,,
12005,,,Coconut Isotonic Sport Drink (Tetra - BPA Free),330ml,Ctn 12,$1.13,$13.56
11803,,,Coconut Water (Canned),350ml,Ctn 12,$1.71,$20.52
12278,,,Coconut Water (Tetra - BPA free),1 litre,12 Outer,$3.45,$41.40
,,,Pure Living Water,,,,
11738,,,Pure Living Water,650ml,Ctn 12,$1.71,$20.52
,,,SPREADS - NUT BUTTERS,,,,
,,,Ceres Naturals,,,,
10309,,,Almond Butter (Natural),300g,6 Outer,$9.98,$59.88
